,ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Contribution_ID,Word_ID,BorrowedScore,AgeScore,SimplicityScore,Borrowed,Analyzability,Age,ContactSituation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source,x1,word,origin_type,source_language,original_word,source_language_short,symbol,word_form_source,n,y,color,source_language_lumped
248,7642,13,8-67,vine,,,13,13,7221232094339497,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1303 [13],French contact [13],1303,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,,vine,immediate,French,vigne,French,,vine / vigne,195,1,#221F1D,French
482,8272,13,19-16,village,,,13,13,72212320469378491,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1386 [13],French contact [13],c. 1386,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,village,immediate,French,village,French,,village / village,195,2,#221F1D,French
85,7235,13,4-151,vein,,,13,13,72212320405008649,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,vein,immediate,French,veine,French,,vein / veine,195,3,#221F1D,French
157,7454,13,5-65,vegetables,,,13,13,72212320132154771,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1582 [13],French contact [13],1582,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,,vegetables,immediate,French,végétable,French,,vegetables / végétable,195,4,#221F1D,French
5,6970,13,1-24,valley,,,13,13,72212319628862359,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,,valley,immediate,French,vallée,French,,valley / vallée,195,5,#221F1D,French
40,7073,13,2-51,uncle,,,13,13,72212319705081418,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,uncle,immediate,French,oncle,French,,uncle / oncle,195,6,#221F1D,French
83,7224,13,3-98,turtle,,,13,13,72212320129382627,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1657 [13],French contact [13],1657,,,,,,Insertion,,,,,,,,,"English word is a corruption of the French form, abetted by “tortoise”",,,,Present only since contact,,,turtle,immediate,French,tortue,French,,turtle / tortue,195,7,#221F1D,French
299,7754,13,10-13,turn around,,,13,13,72212320538221065,1.0,0.8,0.5,1. clearly borrowed,analyzable phrasal,1880 [13],French contact [13],1880,,,,“around” comprises “a-” (Germanic prefix) and “round”,,Replacement,,TURN + AROUND,,,,,,,,,,,Present in pre-contact environment,,,turn around,immediate,French,rond,French,,turn around / rond,195,8,#221F1D,French
458,8206,13,17-48,try,,,13,13,72212320647570018,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Replacement,,,,,,,,,,,,,Present only since contact,,,try,immediate,French,trier,French,,try / trier,195,9,#221F1D,French
479,8266,13,18-73,trumpet,,,13,13,72212320500457584,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,14th century [13],French contact [13],14th century,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,,trumpet,immediate,French,trompette,French,,trumpet / trompette,195,10,#221F1D,French
251,7647,13,8-73,tree trunk,,,13,13,72212320363993674,1.0,1.0,0.5,1. clearly borrowed,analyzable compound,1490 [13],French contact [13],1490,,,,,,Insertion,,TREE (which see) + TRUNK,,,,,,,,,,,Present only since contact,,,tree trunk,immediate,French,tronc,French,,tree trunk / tronc,195,11,#221F1D,French
602,8410,13,23-155,train,,,13,13,72212320318704940,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1330 [13],French contact [13],c. 1330,,,,1824 in the sense of ‘railway train’.,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,train,immediate,French,train,French,,train / train,195,12,#221F1D,French
403,8092,13,15-71,touch,,,13,13,72212320976873009,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Replacement,,,,,,,,,Possibily imitative in origin; possibly a borrowing into Late Latin from Germanic.,,,,Present in pre-contact environment,,,touch,immediate,French,toucher,French,,touch / toucher,195,13,#221F1D,French
219,7576,13,7-45,torch,,,13,13,72212320805419333,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,,torch,immediate,French,torche,French,,torch / torche,195,14,#221F1D,French
580,8443,13,23-52,toilet,,,13,13,72212320597783994,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1540 [13],French contact [13],1540,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,,toilet,immediate,French,toilette,French,,toilet / toilette,195,15,#221F1D,French
207,7550,13,7-14,tent,,,13,13,7221232028690592,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,,tent,immediate,French,tente,French,,tent / tente,195,16,#221F1D,French
173,7485,13,6-13,tailor,,,13,13,72212320151340316,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,,tailor,immediate,French,tailleur,French,,tailor / tailleur,195,17,#221F1D,French
524,8333,13,20-46,surrender,,,13,13,72212320648777353,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1466 [13],French contact [13],1466,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,surrender,immediate,French,surrendre,French,,surrender / surrendre,195,18,#221F1D,French
407,8114,13,16-15,surprised,,,13,13,72212320789592274,1.0,0.9,0.5,1. clearly borrowed,analyzable derived,1620 [13],French contact [13],1620,,,,,,Coexistence,,surprised-PST.PTCP,,,,,,,,,,,Present in pre-contact environment,,,surprised,immediate,French,surpris,French,,surprised / surpris,195,19,#221F1D,French
104,7309,13,4-46,stomach,,,13,13,72212320117256739,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Replacement,,,,,,,,,Greek to Latin to French to English.,,,,Present in pre-contact environment,,,stomach,immediate,French,estomac,French,,stomach / estomac,195,20,#221F1D,French
156,7453,13,5-64,soup,,,13,13,72212320842126144,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1653 [13],French contact [13],1653,,,,,,Coexistence,,,,,,,,,Went into French via Late Latin suppare ‘to soak’.,,,,Present in pre-contact environment,,,soup,immediate,French,soupe,French,,soup / soupe,195,21,#221F1D,French
399,8075,13,15-44,sound,,,13,13,72212320425265885,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1280 [13],French contact [13],c. 1280,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,sound,immediate,French,son,French,,sound / son,195,22,#221F1D,French
0,6961,13,1-212,soil,,,13,13,72212319996483626,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1300 [13],French contact [13],1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,soil,immediate,French,seuil,French,,soil / seuil,195,23,#221F1D,French
492,8285,13,19-42,slave,,,13,13,72212320488509651,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,,slave,immediate,French,esclave,French,,slave / esclave,195,24,#221F1D,French
377,7964,13,12-92,similar,,,13,13,72212320695001071,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1611 [13],Latin contact [13],1611,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,similar,immediate,French,similaire,French,,similar / similaire,195,25,#221F1D,French
382,8001,13,13-36,second,,,13,13,72212320920264047,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,second,immediate,French,second,French,,second / second,195,26,#221F1D,French
77,7182,13,3-815,scorpion,,,13,13,72212320287208421,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,,scorpion,immediate,French,scorpion,French,,scorpion / scorpion,195,27,#221F1D,French
554,8381,13,22-15,sacrifice,,,13,13,72212320414684850,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,sacrifice,immediate,French,sacrifice,French,,sacrifice / sacrifice,195,28,#221F1D,French
373,7959,13,12-81,round,,,13,13,72212320195607972,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,round,immediate,French,rond,French,,round / rond,195,29,#221F1D,French
300,7756,13,10-15,roll,,,13,13,72212320277706178,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1375 [13],French contact [13],c. 1375,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,roll,immediate,French,rouler,French,,roll / rouler,195,30,#221F1D,French
