,word,origin_type,source_language,original_word
0,war,earlier,Frankish,werra
1,trumpet,earlier,Occitan,tromba
2,trousers,immediate,Gaelic (Scottish),triubhas
3,tea,earlier,Min,tiä
4,tattoo,immediate,Tahitian,tātau
5,sugar cane,earlier,Hebrew,qāneh
6,squash,immediate,Narragansett,asquutasquash
7,silk,earlier,Mongolian,sirege
8,rug,immediate,Norwegian,rugga
9,rice,earlier,Tamil,arici
10,raccoon,immediate,Algonquian (Powhatan),árehkan
11,poncho,earlier,Mapudungun,punchu
12,pepper,earlier,Sanskrit,pippah
13,peg,immediate,Middle Dutch,pegge
14,pan,immediate,Vulgar Latin,panna
15,paddy,immediate,Malay,padi
16,orange,earlier,Tamil,nāram
17,opossum,immediate,Algonquian (Powhatan),opassom
18,moose,immediate,Eastern Abenaki,mos
19,mat,earlier,Phoenician,maţţa
20,magic,earlier,Old Persian,maguš
21,kangaroo,immediate,Guugu Yimidhirr,gaŋurru
22,guard,earlier,Frankish,wardōn
23,flute,earlier,Occitan,flaüt
24,coyote,earlier,Nahuatl,coyotl
25,clan,immediate,Gaelic (Scottish),clann
26,chili (pepper),earlier,Nahuatl,chilli
27,caribou,earlier,Mikmaq,qalipu
28,camel,earlier,Proto-Semitic,gāmal
29,brake,earlier,Middle Dutch,bracke
30,boomerang,immediate,Dharuk,womurrang
31,banyan,earlier,Sanskrit,vaņij
32,banana,earlier,Wolof,banana
33,bamboo,earlier,Kannada,banvu
34,baby,immediate,Welsh,baban
35,approach,earlier,Vulgar Latin,appropiāre
36,adobe,earlier,Coptic,ţob
37,(sea)gull,immediate,Welsh,gwylan
38,toucan,immediate,Tupí,tucana
39,tapir,immediate,Tupí,tapyra
40,manioc,earlier,Tupí,manioka
41,jaguar,immediate,Tupí,jaguara
42,tobacco,earlier,Taino,tabako
43,savanna,earlier,Taino,sabana
44,potato,earlier,Taino,batata
45,maize,earlier,Taino,mahis/mahici
46,hammock,earlier,Taino,hamaka
47,cassava,earlier,Taino,casavi
48,canoe,earlier,Taino,kanawa
49,zero,immediate,Spanish,cero
50,tobacco,immediate,Spanish,tabaco
51,savanna,immediate,Spanish,sabana
52,potato,immediate,Spanish,patata
53,poncho,immediate,Spanish,poncho
54,mosquito,immediate,Spanish,mosquito
55,maize,immediate,Spanish,maiz
56,lasso,immediate,Spanish,lazo
57,lagoon,immediate,Spanish,laguna
58,hammock,immediate,Spanish,hamaca
